study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_min,mean,sd,change,change_sd,ri,yi,vi
Barenius_2010,Eriksson_2001,2010,Sweeden,153,100.8,17.760000000000002,Combined,Body mass (kg),72,13,0,NA,NA,5.2,7.3,0.9,0.06973333801467514,6.27e-5
Cordingley_2024,Cordingley_2024,2024,Canada,17,0,NA,Group 1,Body mass (kg),79.3,15.5,0,79.3,15.5,NA,NA,0.9,0,4.494672947297825e-4
Cordingley_2024,Cordingley_2024,2024,Canada,17,0,NA,Group 1,BMI,25,3.8,0,25,3.8,NA,NA,0.9,0,2.7181176470588266e-4
Cordingley_2024,Cordingley_2024,2024,Canada,17,6,NA,Group 1,Body mass (kg),79.3,15.5,0,81.6,19,NA,NA,0.9,0.02859113332925895,6.176350029330566e-4
Cordingley_2024,Cordingley_2024,2024,Canada,17,6,NA,Group 1,BMI,25,3.8,0,25.7,4.7,NA,NA,0.9,0.02761516703297339,3.831217073242418e-4
Cordingley_2024,Cordingley_2024,2024,Canada,17,12,NA,Group 1,Body mass (kg),79.3,15.5,0,82.1,19.3,NA,NA,0.9,0.03469988781758013,6.329049889353677e-4
Cordingley_2024,Cordingley_2024,2024,Canada,17,12,NA,Group 1,BMI,25,3.8,0,25.8,5,NA,NA,0.9,0.03149866705937101,4.493284269539801e-4
Van Yperen_2018,Meuffels_2008,2018,Netherlands,50,120,NA,Combined,BMI,25.4,2.7,120,25.4,2.7,NA,NA,0.9,0,4.519809039618076e-5
Van Yperen_2018,Meuffels_2008,2018,Netherlands,50,240,NA,Combined,BMI,25.4,2.7,120,26.1,3,NA,NA,0.9,0.02718614030415699,5.036733947163228e-5
Marques de Almeida_2018,Marques de Almeida_2018,2018,Brazil,20,0,NA,ACLR,Body mass (kg),79.2,10.1,0,79.2,10.1,NA,NA,0.9,0,1.626269003162941e-4
Marques de Almeida_2018,Marques de Almeida_2018,2018,Brazil,20,0,NA,ACLR,BMI,23.7,2,0,23.7,2,NA,NA,0.9,0,7.121365877975393e-5
Marques de Almeida_2018,Marques de Almeida_2018,2018,Brazil,20,6,NA,ACLR,Body mass (kg),79.2,10.1,0,79.3,8.9,NA,NA,0.9,0.00126182982042216,1.5481831236478002e-4
Marques de Almeida_2018,Marques de Almeida_2018,2018,Brazil,20,6,NA,ACLR,BMI,23.7,2,0,24,2,NA,NA,0.9,0.01257878220686018,7.037912371592875e-5
Facchetti_2017,Facchetti_2017,2017,USA,113,0,NA,Combined,BMI,24.8,3.7,0,24.8,3.7,NA,NA,0.9,0,3.939595554041238e-5
Facchetti_2017,Facchetti_2017,2017,USA,113,6,NA,Combined,BMI,24.8,3.7,0,24.8,3.7,NA,NA,0.9,0,3.939595554041238e-5
Facchetti_2017,Facchetti_2017,2017,USA,75,12,NA,Combined,BMI,24.8,3.7,0,24.2,3.3,NA,NA,0.9,-0.02449102000829587,5.644695464721944e-5
Facchetti_2017,Facchetti_2017,2017,USA,33,24,NA,Combined,BMI,24.8,3.7,0,23.6,2.5,NA,NA,0.9,-0.04959694113937206,1.5249770404275696e-4
Faltstrom_2021,Faltstrom_2021,2021,Sweeden,205,19.2,8.4,Combined,BMI,22.4,2.2,19.2,22.4,2.2,NA,NA,0.9,0,9.410776505724242e-6
Faltstrom_2021,Faltstrom_2021,2021,Sweeden,222,78,12,Combined,BMI,22.4,2.2,19.2,23.3,2.9,NA,NA,0.9,0.0393924017106609,1.4116402675244831e-5
Chiba_2021,Chiba_2021,2021,USA,18,0,NA,combined,BMI,24.2,3.2,0,24.2,3.2,NA,NA,0.9,0,1.9427938285939816e-4
Gibbs_2022,Chiba_2021,2022,USA,18,6,NA,combined,BMI,24.2,3.2,0,24.2,3.2,NA,NA,0.9,0,1.9427938285939816e-4
Gibbs_2022,Chiba_2021,2022,USA,16,12,NA,combined,BMI,24.2,3.2,0,24,3.2,NA,NA,0.9,-0.00829880281469506,2.20461565315059e-4
Grant_2010,Grant_2005,2010,Canada,88,0,NA,combined,Body mass (kg),79,15.7,0,79,15.7,NA,NA,0.9,0,8.976198453045114e-5
Grant_2010,Grant_2005,2010,Canada,66,38.7,5.8,combined,Body mass (kg),79,15.7,0,81,15.6,NA,NA,0.9,0.02500130220541718,1.16555532530339e-4
Grinberg_2024,Grinberg_2024,2024,Sweeden,22,2.8,(2.1 to 3.1) IQR,Group 1,Body mass (kg),71.7,12.8,2.8,71.7,12.8,NA,NA,0.9,0,2.897269821868485e-4
Grinberg_2024,Grinberg_2024,2024,NA,22,2.8,(2.1 to 3.1) IQR,Group 1,BMI,23.5,2.9,2.8,23.5,2.9,NA,NA,0.9,0,1.3844191118976123e-4
Grinberg_2024,Grinberg_2024,2024,NA,22,8,(7.4 to 10.8) IQR,Group 1,Body mass (kg),71.7,12.8,2.8,72.3,11.8,NA,NA,0.9,0.00833338155914424,2.75533748156274e-4
Grinberg_2024,Grinberg_2024,2024,NA,22,8,(7.4 to 10.8) IQR,Group 1,BMI,23.5,2.9,2.8,23.7,2.9,NA,NA,0.9,0.00847462699097223,1.3732291979450472e-4
Grinberg_2024,Grinberg_2024,2024,NA,22,12.9,(10.8 to 16.1) IQR,Group 1,Body mass (kg),71.7,12.8,2.8,72.2,12,NA,NA,0.9,0.00694929829320594,2.766334555000423e-4
Grinberg_2024,Grinberg_2024,2024,NA,22,12.9,(10.8 to 16.1) IQR,Group 1,BMI,23.5,2.9,2.8,23.7,2.9,NA,NA,0.9,0.00847462699097223,1.3732291979450472e-4
Hanstein_2019,Hanstein_2019,2019,USA,44,0,NA,Group 1,BMI,26.1,4.8,0,26.1,4.8,NA,NA,0.9,0,1.5373713352310244e-4
Hanstein_2019,Hanstein_2019,2019,USA,38,6,NA,Group 1,BMI,26.1,4.8,0,26.9,5.1,NA,NA,0.9,0.03019097227914551,1.8436215247702968e-4
Hanstein_2019,Hanstein_2019,2019,USA,39,12,NA,Group 1,BMI,26.1,4.8,0,27.8,5.7,NA,NA,0.9,0.06310070636794354,2.0481903050579295e-4
Hanstein_2019,Hanstein_2019,2019,USA,44,25.1,(12 to 63) range,Group 1,BMI,26.1,4.8,0,28.3,5.6,NA,NA,0.9,0.08092649032054426,1.6985343587144742e-4
Harput_2020,Harput_2020,2020,Turkey,91,1,NA,Group 1,Body mass (kg),79.6,13.7,1,79.6,13.7,NA,NA,0.9,0,6.51033898300381e-5
